 1
junk
 2474      | 1,7-dimethylphenanthrene                                                                           | f
 2475      | Hexadecane & Norpristane                                                                           | f
 2476      | 8-abietic acid                                                                                     | f
 2477      | 2,3 & 3,5-dimethylbenzoic acid                                                                     | f
 2478      | C28-20S5a(H),14(H),17(H)-ergostane                                                                 | f
 2479      | C27-20R5a(H),14a(H),17a(H)-cholestane & C29-20S13(H),17a(H)-diasterane                             | f
 2480      | C29-20R5a(H),14a(H),17a(H)-stigmastane                                                             | f
 2481      | C27-20R5a(H),14(H)-cholestane                                                                      | f
 2482      | C27-20R-13(H),17a(H)-diasterane                                                                    | f
 2483      | 17a(H),21(H)-22,29,30-Trisnorhopane                                                                | f
 2484      | 17a(H),18a(H),21(H)-25,28,30-Trisnorhopane                                                         | f
 2485      | 2,3,5 & I-trimethylnaphthalene                                                                     | f
 2486      | C-methylpyrene & methylfluoranthene                                                                | f
 2487      | Methylpyrenesfluoranthenes                                                                         | f
 2488      | 2-Methylglutaric acid                                                                              | f
 2489      | 3-Methyladipic acid                                                                                | f
 2490      | 2,6-dimethoxybenzoic acid                                                                          | f
 2491      | Dodecanedioic acid                                                                                 | f
 2492      | 2,6-Dimethylbenzoic acid                                                                           | f
 2493      | 3-Methylglutaric acid                                                                              | f
 2494      | 3,4-Dimethylbenzoic acid                                                                           | f
 2495      | 2,4-Dimethylbenzoic acid                                                                           | f
 2496      | 2,5-Dimethylbenzoic acid                                                                           | f
 2497      | Myristoleic acid                                                                                   | f
 2498      | Trans-2-decenoic acid                                                                              | f
 2499      | o-Toluic acid                                                                                      | f
 2500      | Maleic acid                                                                                        | f
 2501      | p-Toluic acid                                                                                      | f
 2502      | m-Toluic acid                                                                                      | f
 2503      | Salicylic acid                                                                                     | f
 2504      | Ergosterol                                                                                         | f
 2505      | Tetradecanedioic acid                                                                              | f
 2506      | 1-Nitrobenzoepyrene                                                                                | f
 2507      |  20S 24RS-Ethylcholestane                                                                          | f
 2508      |  20R 24R-Ethylcholestane                                                                           | f
 2509      | 2-Nitroanthracene                                                                                  | f
 2510      | 3-Nitrobenzoepyrene                                                                                | f
 2511      | C19-tricyclic terpane                                                                              | f
 2512      | C20-tricyclic terpane                                                                              | f
 2513      | C21-tricyclic terpane                                                                              | f
 2514      | C22-tricyclic terpane                                                                              | f
 2515      | C21--sterane                                                                                       | f
 2516      | C21--sterane                                                                                       | f
 2517      | C22--sterane                                                                                       | f
 2518      | C23--dimethyl-a-butylpodocarpane                                                                   | f
 2519      | C24--dimethyl-a-methylbutylpodocarpane                                                             | f
 2520      | C25-tricyclic terpane                                                                              | f
 2521      | C26-tricyclic terpane                                                                              | f
 2522      | C26-tricyclic triterpane-22R                                                                       | f
